         Total  Runs,Runs Remain,Counts,Pause Time,Preset Time,Elapsed Time,High Volt,Date-Time
      1: 1,1,27,0,60,60,900,7/10/2025 15:57
      2: 2,0,35,0,60,60,900,7/10/2025 15:58
      3: 1,0,8275,0,60,60,900,7/10/2025 16:01
      4: 1,0,7995,0,60,60,900,7/10/2025 16:02
      5: 1,0,7681,0,60,60,900,7/10/2025 16:03
      6: 1,0,7671,0,60,60,900,7/10/2025 16:05
      7: 1,0,7247,0,60,60,900,7/10/2025 16:06
      8: 1,0,5679,0,60,60,900,7/10/2025 16:08
      9: 1,0,5183,0,60,60,900,7/10/2025 16:09
     10: 1,0,4696,0,60,60,900,7/10/2025 16:11
